"Brewery_ID","BeerName","Beer_ID","ABV","IBU","Style","Ounces"
110,"Summer Brew",2306,0.028,15,"American Pilsner",12
111,"Consilium",2414,0.05,40,"American Pale Ale (APA)",12
111,"Hammer & Sickle",1581,0.09,60,"Russian Imperial Stout",12
111,"Redacted Rye IPA",1176,0.07,100,"American IPA",16
111,"Elevation Triple India Pale Ale",1006,0.099,100,"American Double / Imperial IPA",12
111,"5:00 O'Clock Afternoon Ale",1005,0.05,25,"American Blonde Ale",16
111,"Ryeteous Rye IPA (2012)",636,0.07,100,"American IPA",16
112,"Cali Creamin'",2413,0.052,21,"Cream Ale",12
113,"Deception",2412,0.045,16,"American Blonde Ale",12
113,"Blackmarket Rye IPA",1898,0.075,35,"American IPA",12
113,"Black Market Hefeweizen",1897,0.05,8,"Hefeweizen",12
113,"Aftermath Pale Ale",1896,0.058,44,"American Pale Ale (APA)",12
116,"Rule G IPA",2407,0.07,88,"American IPA",12
116,"Murphy's Law",2406,0.058,35,"American Amber / Red Ale",12
116,"Alter Ego",2405,0.062,33,"Saison / Farmhouse Ale",12
117,"Hop in the ‘Pool Helles",2404,0.049,22,"American Pilsner",12
117,"Ultra Gnar Gnar IPA",2323,0.067,60,"American IPA",12
117,"In-Tents India Pale Lager",2189,0.068,62,"American Pale Lager",12
117,"Lost Meridian Wit",2188,0.05,20,"Witbier",12
117,"Celestial Meridian Cascadian Dark Lager",2187,0.051,45,"Euro Dark Lager",12
118,"P-Town Pilsner",2403,0.04,20,"American Pilsner",12
118,"Klickitat Pale Ale",2402,0.053,36,"American Pale Ale (APA)",12
118,"Yellow Wolf Imperial IPA",2401,0.082,103,"American Double / Imperial IPA",12
